task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.614591598510742,0.6847361326217651,24.6199951171875,1184,0.6909900903701782,0.0003592792199924588,0.27854857583583337,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.1,False
Deblurring,100,02.png,27.736181259155273,0.7906793355941772,27.736181259155273,1200,0.7906793355941772,0.00016666619922034442,0.2823786260541667,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.1,False
Deblurring,100,03.png,25.90318489074707,0.7668339014053345,25.90318489074707,1200,0.7668339014053345,0.00023169939231593162,0.2828992595416668,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.1,False
