task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.821802139282227,0.6272343397140503,24.830102920532227,1177,0.6314690709114075,0.00020973962091375142,0.27807198995666665,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.05,False
Deblurring,100,02.png,28.144092559814453,0.7036391496658325,28.144092559814453,1200,0.7036391496658325,0.00011371943401172757,0.2833984036875,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.05,False
Deblurring,100,03.png,25.980365753173828,0.7054471969604492,25.980365753173828,1200,0.7054471969604492,0.00015173810243140906,0.28422868953916675,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.05,False
