task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,21.80611801147461,0.40442776679992676,24.744266510009766,922,0.6754267811775208,0.0008927180315367877,0.3316934395908333,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.08,False
Deblurring,100,02.png,23.615869522094727,0.4422600269317627,28.03585433959961,981,0.760445773601532,0.0008980938582681119,0.33248559603500005,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.08,False
Deblurring,100,03.png,21.639379501342773,0.43744194507598877,25.97103500366211,968,0.7447898387908936,0.0010755161056295037,0.33912787079833323,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.08,False
