task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,22.92949867248535,0.7300620079040527,22.92949867248535,1200,0.7300620079040527,0.00012308996520005167,0.2831703768525,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.15,False
Deblurring,100,02.png,24.68219566345215,0.7940040230751038,24.68219566345215,1200,0.7940040230751038,9.349970059702173e-05,0.28555533490499996,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.15,False
Deblurring,100,03.png,24.02105712890625,0.7436143159866333,24.02105712890625,1200,0.7436143159866333,0.00011780991917476058,0.2816190086241666,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.15,False
