task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.784873962402344,0.6389094591140747,24.784873962402344,1200,0.6389094591140747,0.0001601118710823357,0.2801821609225,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.05,False
Deblurring,100,02.png,28.0218563079834,0.7073297500610352,28.0218563079834,1200,0.7073297500610352,8.863976108841598e-05,0.2838161698491667,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.05,False
Deblurring,100,03.png,25.830347061157227,0.7089921236038208,25.830347061157227,1200,0.7089921236038208,0.0001373593113385141,0.28356157977916674,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.05,False
