task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,23.60932159423828,0.741138219833374,23.60932159423828,1200,0.741138219833374,0.00019556043844204396,0.2778715234,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.15,False
Deblurring,100,02.png,25.715505599975586,0.8026575446128845,25.715505599975586,1200,0.8026575446128845,0.00011315470328554511,0.2818772579741667,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.15,False
Deblurring,100,03.png,24.50513458251953,0.7574235200881958,24.50513458251953,1200,0.7574235200881958,0.00010934526653727517,0.2795641603175,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.15,False
