noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.0025,1,blur_1.mat,1,ILSVRC2012_val_00000491.JPEG.png,35.30250549316406,0.9384304881095886,35.32745361328125,152,0.9386467337608337,2.4014245354919694e-05,2.5667448054525,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,2,ILSVRC2012_val_00002289.JPEG.png,40.26306915283203,0.975669801235199,40.325706481933594,488,0.9759368300437927,0.00031834066612645984,2.54132560256,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,3,ILSVRC2012_val_00005941.JPEG.png,37.60746383666992,0.9776301383972168,37.619911193847656,196,0.9776800274848938,0.00014068387099541724,2.5198107295683334,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,4,ILSVRC2012_val_00007658.JPEG.png,37.69402313232422,0.9612671732902527,37.69999313354492,439,0.961320698261261,7.368408114416525e-05,2.519995991294166,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,5,ILSVRC2012_val_00028884.JPEG.png,35.86724853515625,0.9761624336242676,35.957149505615234,365,0.9765015244483948,0.0003606869140639901,2.5052923299,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,6,ILSVRC2012_val_00038157.JPEG.png,34.36626052856445,0.9279056191444397,34.41237258911133,129,0.9282384514808655,5.371661245590076e-06,2.4692382776799997,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,1,blur_1.mat,7,ILSVRC2012_val_00044012.JPEG.png,43.04012680053711,0.9868428111076355,43.0786247253418,198,0.9869486689567566,9.39734818530269e-05,2.4997987491158344,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,blur_2.mat,1,ILSVRC2012_val_00000491.JPEG.png,34.743038177490234,0.9315295815467834,34.835670471191406,140,0.9330366253852844,3.179726263624616e-05,2.509434516960834,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,blur_2.mat,2,ILSVRC2012_val_00002289.JPEG.png,39.73633575439453,0.9730098843574524,39.850032806396484,232,0.9740938544273376,0.00027128326473757625,2.496607546730832,1200,0.5,0.99,0.82,2.55,2.55,0.4
0.0025,2,blur_2.mat,3,ILSVRC2012_val_00005941.JPEG.png,37.01898193359375,0.9744216799736023,37.04177474975586,359,0.9747889637947083,0.0001407772215316072,2.446854366885,1200,0.5,0.99,0.82,2.55,2.55,0.4
