noise,kernel_1,kernel_2,kernel_3,kernel_4,kernel_5,kernel_6,kernel_7,kernel_8,kernel_9,kernel_10,average
0.0025,37.73438535417829,36.991454533168245,35.78591782706125,36.910949162074495,36.90144784109933,37.700120653424946,35.441446031842915,35.679983139038086,23.222341537475586,26.419317517961776,34.27873635973249
0.005,34.121392658778596,33.29096439906529,31.84490122113909,33.11021886553083,33.884705134800505,34.399091720581055,32.01420375279018,32.086824144635884,23.381891795567103,23.388514382498606,31.15227080753872
0.01,31.1907228742327,30.79278073992048,29.94708170209612,30.388317380632675,31.25739070347377,31.44527871268136,29.90639168875558,30.10323360988072,23.943650109427317,26.246416364397323,29.522126388549804
0.02,28.255734034946986,27.816233771187918,28.107458114624023,27.561505726405553,28.763614382062638,29.22145734514509,27.78014591761998,27.763351712908065,27.08796582903181,25.853593281337194,27.821106011526922
0.04,25.8667414528983,25.532216480800084,26.064958572387695,25.047285897391184,26.818657193865096,26.529562541416713,25.352360044206893,25.09932599748884,25.05219350542341,24.652365275791713,25.60156669616699
