noise,kernel_1,kernel_2,average
0.0025,28.55150168282645,29.747072219848633,29.149286951337544
0.005,28.16723578316825,28.13748686654227,28.15236132485526
0.01,27.940013885498047,27.69433675493513,27.817175320216588
0.02,27.160020555768693,26.62288420540946,26.891452380589076
0.04,25.916313988821848,25.368887492588588,25.64260074070522
