noise,kernel_1,kernel_2,average
0.0025,28.463774817330496,29.63542366027832,29.049599238804408
0.005,27.91002001081194,27.221376146589005,27.56569807870047
0.01,26.38096754891532,24.60386712210519,25.492417335510254
0.02,26.52191952296666,24.982676369803293,25.752297946384978
0.04,25.69365474155971,25.23935862949916,25.466506685529435
