task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.421558380126953,0.5508054494857788,24.55662727355957,1082,0.5683903694152832,0.00021612091222777963,0.2766565026241667,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.035,False
Deblurring,100,02.png,27.529726028442383,0.6072279214859009,27.66358757019043,1110,0.6189895868301392,0.00012585778313223273,0.28052720408500004,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.035,False
Deblurring,100,03.png,25.578655242919922,0.6286300420761108,25.696876525878906,1137,0.6410850882530212,0.0002637330035213381,0.27573395255499994,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.035,False
