task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,20.1229305267334,0.2933990955352783,24.787736892700195,858,0.6284169554710388,0.0009175349259749055,0.3522666809575,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.05,False
Deblurring,100,02.png,20.931276321411133,0.2895878553390503,28.132293701171875,908,0.6983442902565002,0.0009593205177225173,0.3513382987091666,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.05,False
Deblurring,100,03.png,19.559799194335938,0.31946301460266113,25.949493408203125,904,0.6992685198783875,0.0010589988669380546,0.3477491339825001,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.05,False
