task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,23.745012283325195,0.717924952507019,23.745012283325195,1200,0.717924952507019,0.00011935872316826135,0.28134272777583336,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.1,False
Deblurring,100,02.png,26.233564376831055,0.7864769697189331,26.233564376831055,1200,0.7864769697189331,9.910015796776861e-05,0.28360191743416663,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.1,False
Deblurring,100,03.png,24.699934005737305,0.7492106556892395,24.699934005737305,1200,0.7492106556892395,8.671218529343605e-05,0.28274577878749996,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.1,False
