task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.695096969604492,0.6884522438049316,24.695096969604492,1200,0.6884522438049316,0.0001441391941625625,0.27626832618333336,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.07,False
Deblurring,100,02.png,27.60469627380371,0.7613241076469421,27.60469627380371,1200,0.7613241076469421,9.736221545608714e-05,0.2801829727883334,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.07,False
Deblurring,100,03.png,25.640207290649414,0.744807779788971,25.640207290649414,1200,0.744807779788971,0.00016825829516164958,0.28052021369166663,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.07,False
