task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,17.397951126098633,0.20784500241279602,24.770612716674805,780,0.6271214485168457,0.0009547349764034152,0.3353995952291667,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.05,False
Deblurring,100,02.png,17.303504943847656,0.1545046865940094,28.110883712768555,824,0.6980326771736145,0.0009916919516399503,0.3347057475241667,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.05,False
Deblurring,100,03.png,16.6653995513916,0.20811185240745544,25.924217224121094,821,0.6982889175415039,0.0009627029066905379,0.33416943797,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.05,False
