task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.3590087890625,0.7217616438865662,24.3590087890625,1200,0.7217616438865662,0.0001631254272069782,0.2748067022591667,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.1,False
Deblurring,100,02.png,27.10372543334961,0.7923235893249512,27.10372543334961,1200,0.7923235893249512,0.0001139724045060575,0.27860368515666667,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.1,False
Deblurring,100,03.png,25.393064498901367,0.7641130089759827,25.393064498901367,1200,0.7641130089759827,0.00020817334007006139,0.27903499261916664,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.1,False
