task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.861984252929688,0.6799473166465759,24.861984252929688,1200,0.6799473166465759,0.00022203216212801635,0.28023959463666664,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.07,False
Deblurring,100,02.png,27.90520477294922,0.7614192962646484,27.90520477294922,1200,0.7614192962646484,0.0001117674692068249,0.2832491320375,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.07,False
Deblurring,100,03.png,25.877408981323242,0.7470248937606812,25.877408981323242,1200,0.7470248937606812,0.00017005001427605748,0.2842550571066666,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.07,False
