noise,kernel_1,kernel_2,kernel_3,kernel_4,kernel_5,kernel_6,kernel_7,kernel_8,kernel_9,kernel_10,average
0.0025,37.2403285984284,36.60610192108191,35.67957110912345,36.62738307058594,36.65751404179099,37.44067125060902,35.402948056729834,35.57447985565992,29.679721774945257,30.70414011920315,35.16128597981579
0.005,34.04309504164935,33.46202714451241,32.876282477964544,33.34582551748518,34.021162744408194,34.460234936588904,32.72572506694921,32.6848354960646,28.42145803011966,27.949144235842564,32.39897906915846
0.01,31.008738708297383,30.5348817439428,30.43981558301048,30.33118769567267,31.602598892061938,31.762507397990014,30.28409431122115,30.077972920087024,27.601077537437316,26.471583975005235,30.0114458764726
0.02,28.259197483495118,27.861269432169117,28.331349528720587,27.590919444392664,29.346913097802766,29.29011807563558,28.184736565858863,27.927070733176638,27.362078864904074,26.068229797664383,28.022188302381977
0.04,26.003392067173,25.729781196470757,26.294780226253383,25.58007808882652,27.049345890083455,26.79831419873576,26.131557421067356,25.9417736455321,26.181006540643825,25.417707787643142,26.112773706242926
