noise,kernel,kernel_file,image,psnr,ssim,alpha,gamma1,gamma2,max_iter,method,architecture
0.0025,4,blur_4.mat,ILSVRC2012_val_00038157.JPEG.png,33.61074258829639,0.9147262573242188,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,4,blur_4.mat,ILSVRC2012_val_00044012.JPEG.png,40.78647303822223,0.9782399535179138,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00000491.JPEG.png,35.012980874897124,0.9342687726020813,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00002289.JPEG.png,39.584286352372985,0.9769271016120911,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00005941.JPEG.png,36.55657921523555,0.9736484885215759,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00007658.JPEG.png,36.902134747870896,0.9574103355407715,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00028884.JPEG.png,32.55444402799482,0.9546707272529602,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00038157.JPEG.png,33.16333880742875,0.9114966988563538,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,5,blur_5.mat,ILSVRC2012_val_00044012.JPEG.png,42.82883426673681,0.986736536026001,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00000491.JPEG.png,35.525158130288716,0.9406570792198181,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00002289.JPEG.png,40.154007271202936,0.9775492548942566,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00005941.JPEG.png,37.34013046199186,0.9756162762641907,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00007658.JPEG.png,37.722745608116554,0.9607354998588562,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00028884.JPEG.png,34.42722347096834,0.9656548500061035,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00038157.JPEG.png,34.0327412289429,0.9239658713340759,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,6,blur_6.mat,ILSVRC2012_val_00044012.JPEG.png,42.882692582751844,0.9862892031669617,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00000491.JPEG.png,33.705409468597445,0.9140625,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00002289.JPEG.png,38.31932519678586,0.9708083271980286,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00005941.JPEG.png,35.027013697897246,0.9640937447547913,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00007658.JPEG.png,35.823431970884144,0.9488841891288757,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00028884.JPEG.png,31.475053128509416,0.9422445893287659,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00038157.JPEG.png,32.06365597752827,0.8859884142875671,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,7,blur_7.mat,ILSVRC2012_val_00044012.JPEG.png,41.40674695690646,0.9818689823150635,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00000491.JPEG.png,33.81860262819864,0.9150910973548889,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00002289.JPEG.png,38.61044460798391,0.9694638252258301,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00005941.JPEG.png,35.39371354582089,0.966019868850708,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00007658.JPEG.png,35.676511191255884,0.9459989070892334,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00028884.JPEG.png,32.61469689219494,0.9531826376914978,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00038157.JPEG.png,32.27437550058117,0.889988899230957,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,8,blur_8.mat,ILSVRC2012_val_00044012.JPEG.png,40.63301462358397,0.9784404635429382,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00000491.JPEG.png,29.192572140429654,0.8031127452850342,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00002289.JPEG.png,32.39903947101051,0.9458513855934143,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00005941.JPEG.png,28.245814544199167,0.9044037461280823,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00007658.JPEG.png,28.44298669258687,0.8419404029846191,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00028884.JPEG.png,24.140275478569556,0.7389186024665833,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00038157.JPEG.png,27.953223184092643,0.7519192695617676,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,9,gaussian_1_6.mat,ILSVRC2012_val_00044012.JPEG.png,37.38414091372841,0.9605290293693542,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00000491.JPEG.png,29.853557064317453,0.8165763020515442,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00002289.JPEG.png,33.81402507384002,0.9413937926292419,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00005941.JPEG.png,30.44434293342843,0.9224200248718262,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00007658.JPEG.png,29.779183482778496,0.8677178025245667,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00028884.JPEG.png,25.590068154122825,0.8244619369506836,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00038157.JPEG.png,28.7379993716046,0.781808614730835,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.0025,10,square_7.mat,ILSVRC2012_val_00044012.JPEG.png,36.709804754330236,0.9484751224517822,0.82,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00000491.JPEG.png,32.3703089346708,0.8859062194824219,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00002289.JPEG.png,36.943102067365686,0.9569889903068542,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00005941.JPEG.png,34.05963045294689,0.9545676708221436,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00007658.JPEG.png,33.966977694698585,0.9219285845756531,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00028884.JPEG.png,31.511046856794916,0.9401811957359314,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00038157.JPEG.png,31.309504729826976,0.8637635111808777,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,1,blur_1.mat,ILSVRC2012_val_00044012.JPEG.png,38.1410945552416,0.9621908664703369,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00000491.JPEG.png,31.952915517870707,0.8760938048362732,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00002289.JPEG.png,36.30891067027588,0.9523274898529053,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00005941.JPEG.png,33.57797402902715,0.9512189030647278,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00007658.JPEG.png,33.67688070289138,0.9164697527885437,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00028884.JPEG.png,30.35877931641554,0.9234228134155273,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00038157.JPEG.png,30.79338958604806,0.8482308387756348,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,2,blur_2.mat,ILSVRC2012_val_00044012.JPEG.png,37.56534018905813,0.9568943381309509,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00000491.JPEG.png,31.601419276006023,0.866193950176239,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00002289.JPEG.png,35.730388570746136,0.9517253041267395,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00005941.JPEG.png,32.83256332737684,0.9459460377693176,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00007658.JPEG.png,32.90019964927846,0.9098111987113953,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00028884.JPEG.png,29.02702843535048,0.9014126658439636,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00038157.JPEG.png,30.219711421064076,0.8319317698478699,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,3,blur_3.mat,ILSVRC2012_val_00044012.JPEG.png,37.822666665929844,0.9597442746162415,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00000491.JPEG.png,31.582035011198037,0.8655958771705627,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00002289.JPEG.png,36.12615472792565,0.9472403526306152,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00005941.JPEG.png,33.42875522672345,0.9488640427589417,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00007658.JPEG.png,33.36280138881621,0.9104099869728088,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00028884.JPEG.png,30.966751448917897,0.9289714694023132,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00038157.JPEG.png,30.74025759153825,0.8462276458740234,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,4,blur_4.mat,ILSVRC2012_val_00044012.JPEG.png,37.21402322727674,0.9536308646202087,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00000491.JPEG.png,32.67304320174792,0.8923937678337097,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
