task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.337717056274414,0.6270042061805725,24.608089447021484,1084,0.6898106336593628,0.00045336311450228095,0.3538487634608333,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.1,False
Deblurring,100,02.png,27.847631454467773,0.7439867258071899,27.88130760192871,1175,0.7647331953048706,0.0003006385813932866,0.35913438053999996,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.1,False
Deblurring,100,03.png,25.793720245361328,0.7242479920387268,25.923545837402344,1137,0.7559518814086914,0.0003998942847829312,0.3551375930933333,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.1,False
