task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.199813842773438,0.6408787965774536,24.33686637878418,1125,0.6833656430244446,0.0005068750469945371,0.33845721797416667,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.15,False
Deblurring,100,02.png,27.534236907958984,0.7772369384765625,27.534236907958984,1200,0.7772369384765625,0.0003278492367826402,0.3586354415908333,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.15,False
Deblurring,100,03.png,25.642379760742188,0.7442805767059326,25.657773971557617,1175,0.7525601387023926,0.00037649855948984623,0.3587207355658333,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.15,False
