task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.342756271362305,0.7038140296936035,24.342756271362305,1200,0.7038140296936035,0.0003821507270913571,0.35488313340083333,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.15,False
Deblurring,100,02.png,27.080827713012695,0.8024724125862122,27.080827713012695,1200,0.8024724125862122,0.00020916246285196394,0.35685460717750006,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.15,False
Deblurring,100,03.png,25.515487670898438,0.7734867334365845,25.515487670898438,1200,0.7734867334365845,0.00030008889734745026,0.3534581864233332,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.15,False
