task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,22.8062686920166,0.43015819787979126,24.554609298706055,939,0.5676041841506958,0.0005394708714447916,0.2764008859925,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.035,False
Deblurring,100,02.png,25.016178131103516,0.4742603302001953,27.63546371459961,967,0.6181746125221252,0.0004903260851278901,0.28110634374750004,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.035,False
Deblurring,100,03.png,23.09223175048828,0.48995620012283325,25.663387298583984,981,0.6406545042991638,0.0005996573017910123,0.2830973357866667,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.035,False
