task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.7030086517334,0.6016618013381958,24.762052536010742,1130,0.614140510559082,0.0002198758302256465,0.2770722798633333,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.045,False
Deblurring,100,02.png,28.06986427307129,0.6763659715652466,28.078386306762695,1176,0.678932785987854,0.0001248899643542245,0.2803799104416667,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.045,False
Deblurring,100,03.png,25.942691802978516,0.6841848492622375,25.944969177246094,1189,0.6856938600540161,0.00021170388208702207,0.28066273453916674,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.045,False
