task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.263572692871094,0.7015865445137024,24.263572692871094,1200,0.7015865445137024,0.00013612910697702318,0.27860559082083336,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.08,False
Deblurring,100,02.png,26.92294692993164,0.7728574275970459,26.92294692993164,1200,0.7728574275970459,8.505737787345424e-05,0.28356745291583335,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.08,False
Deblurring,100,03.png,25.139677047729492,0.7459559440612793,25.139677047729492,1200,0.7459559440612793,0.00010545749682933092,0.2843848199250001,0.00125,1200,0.5,0.99,1.0,80.0,20.0,0.08,False
