task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.775625228881836,0.6785584092140198,24.775625228881836,1200,0.6785584092140198,0.0001496503537055105,0.2810630284,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.065,False
Deblurring,100,02.png,27.788970947265625,0.7517995238304138,27.788970947265625,1200,0.7517995238304138,9.073581895790994e-05,0.2838005823725,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.065,False
Deblurring,100,03.png,25.752458572387695,0.7395691871643066,25.752458572387695,1200,0.7395691871643066,0.0001722068409435451,0.28352083975583336,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.065,False
