noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.01,1,blur_1.mat,1,ILSVRC2012_val_00000491.JPEG.png,29.67452621459961,0.8068473935127258,29.769268035888672,974,0.8075634837150574,7.17929215170443e-05,2.5443764066016668,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,2,ILSVRC2012_val_00002289.JPEG.png,34.37526321411133,0.9317353367805481,34.378231048583984,1177,0.9318140149116516,4.911082942271605e-05,2.5236376302633334,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,3,ILSVRC2012_val_00005941.JPEG.png,31.567646026611328,0.9249971508979797,31.575746536254883,1159,0.9252672791481018,5.929260078119114e-05,2.5639492700908324,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,4,ILSVRC2012_val_00007658.JPEG.png,31.024124145507812,0.8663156032562256,31.049026489257812,1134,0.8666027188301086,5.434341073851101e-05,2.5079429174025,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,5,ILSVRC2012_val_00028884.JPEG.png,27.823659896850586,0.8686816692352295,27.823659896850586,1200,0.8686816692352295,0.00010740283323684707,2.5234614920558336,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,6,ILSVRC2012_val_00038157.JPEG.png,28.923429489135742,0.7837129235267639,29.108285903930664,961,0.7876585125923157,4.718934360425919e-05,2.514141500745833,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,1,blur_1.mat,7,ILSVRC2012_val_00044012.JPEG.png,34.9464111328125,0.9222003817558289,34.9464111328125,1200,0.9222003817558289,4.6881894377293065e-05,2.528969939529998,1200,0.5,0.99,0.92,80.0,2.55,0.1
