task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,23.87437629699707,0.5637509226799011,24.76141357421875,1016,0.6766151189804077,0.0005953891086392105,0.3481435585641667,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.08,False
Deblurring,100,02.png,27.237916946411133,0.6504831314086914,28.061256408691406,1081,0.7613571286201477,0.0004267389595042914,0.35194944628166663,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.08,False
Deblurring,100,03.png,24.9840087890625,0.6367300748825073,25.9892520904541,1067,0.7456085085868835,0.0006257127388380468,0.35226999467250003,0.00125,1200,0.5,0.99,1.0,80.0,10.0,0.08,False
