task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,22.846555709838867,0.7029228806495667,22.846555709838867,1200,0.7029228806495667,0.00016507277905475348,0.2758548703866667,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.1,False
Deblurring,100,02.png,25.45827293395996,0.772926926612854,25.460054397583008,1185,0.7729005813598633,0.00017992568609770387,0.28102256574500006,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.1,False
Deblurring,100,03.png,23.756818771362305,0.7296818494796753,23.756818771362305,1200,0.7296818494796753,0.00012781489931512624,0.2806055479733333,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.1,False
