task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,23.300559997558594,0.5469321608543396,24.594572067260742,983,0.6885425448417664,0.0007073438027873635,0.3284066563458333,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.1,False
Deblurring,100,02.png,26.50140953063965,0.6145660877227783,27.840856552124023,1066,0.7638390064239502,0.000591335934586823,0.3343516846625,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.1,False
Deblurring,100,03.png,24.14447784423828,0.5951282978057861,25.8973331451416,1033,0.7546229362487793,0.0008314209408126771,0.3417842357833334,0.00125,1200,0.5,0.99,1.0,80.0,8.0,0.1,False
