task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.029233932495117,0.7413390874862671,24.029233932495117,1200,0.7413390874862671,0.00022661536058876663,0.28080323709916666,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.15,False
Deblurring,100,02.png,26.485702514648438,0.8040035963058472,26.485702514648438,1200,0.8040035963058472,0.00013864344509784132,0.2819896298975,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.15,False
Deblurring,100,03.png,24.978134155273438,0.7687262892723083,24.978134155273438,1200,0.7687262892723083,0.000191912375157699,0.2803542279374999,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.15,False
