task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,23.262462615966797,0.6900323033332825,23.262462615966797,1200,0.6900323033332825,0.00015870784409344196,0.27287678472750004,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.08,False
Deblurring,100,02.png,25.996545791625977,0.7612333297729492,25.996545791625977,1200,0.7612333297729492,0.00014073989586904645,0.2798463693975,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.08,False
Deblurring,100,03.png,24.13640594482422,0.725921094417572,24.13640594482422,1200,0.725921094417572,0.000125119011499919,0.28109706299166665,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.08,False
