task,eta_1,eta_2,eta_10,eta_50,eta_100,eta_200
Deblurring,19.023584918749776,20.182276751926906,22.87335115945184,25.173725720008758,26.435276317174143,27.772128582631726
Inpainting,18.619603622962728,21.161366280929382,25.966870626263514,29.755205268184998,31.208981954586076,32.74040082519648
