task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,21.942895889282227,0.7124589681625366,21.942895889282227,1200,0.7124589681625366,0.00012664298992604017,0.2769978188616667,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.15,False
Deblurring,100,02.png,23.579036712646484,0.7731988430023193,23.97345733642578,927,0.7735159397125244,0.00017563047003932297,0.27981448477166665,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.15,False
Deblurring,100,03.png,22.977567672729492,0.7239943742752075,22.977567672729492,1200,0.7239943742752075,0.00020763966313097626,0.2803358185691667,0.00125,1200,0.5,0.99,1.0,80.0,30.0,0.15,False
