noise,kernel_1,kernel_2,average
0.0025,28.467358452933176,29.615158081054688,29.041258266993932
0.005,28.051973615373885,27.957889829363143,28.004931722368514
0.01,27.10403115408761,25.3862727028983,26.245151928492955
0.02,26.491716112409318,24.866575513567245,25.67914581298828
0.04,26.03675433567592,25.303659984043666,25.670207159859793
