noise,kernel_1,kernel_2,average
0.0025,28.472434997558594,29.62423597063337,29.048335484095983
0.005,28.10630852835519,28.13748686654227,28.12189769744873
0.01,27.898147310529435,27.613221304757253,27.755684307643342
0.02,27.129526955740793,26.530132021222794,26.829829488481792
0.04,26.11294310433524,25.35821315220424,25.73557812826974
