noise,alpha,mean_psnr,pds_baseline,gain,min_psnr,max_psnr,mean_ssim,n_images
0.0025,0.9,37.80048860822405,35.61,2.190488608224051,30.61826705932617,50.26481246948242,0.9731032848358154,7
0.005,0.82,37.07374109540667,35.25,1.8237410954066675,30.5227108001709,47.02727127075195,0.9693108541624886,7
0.01,0.82,36.011448178972515,34.43,1.581448178972515,30.28550910949707,43.853885650634766,0.9600398540496826,7
0.02,1.0,33.98786899021694,33.04,0.9478689902169393,29.612911224365234,38.96080780029297,0.9349026339394706,7
0.04,1.0,31.880929401942662,31.0,0.8809294019426623,28.330825805664062,36.10393524169922,0.8947648065430778,7
