task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.56257438659668,0.6339208483695984,24.774789810180664,1111,0.6771305799484253,0.0003400496789254248,0.27701858968166665,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.08,False
Deblurring,100,02.png,28.03799057006836,0.7503659725189209,28.04969596862793,1184,0.7596838474273682,0.00026829910348169506,0.2790341624366666,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.08,False
Deblurring,100,03.png,25.96417808532715,0.7317757606506348,26.006784439086914,1164,0.7465735673904419,0.0003645032411441207,0.2775550380191666,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.08,False
