task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.754995346069336,0.6927298903465271,24.754995346069336,1200,0.6927298903465271,0.00027832784689962864,0.28184922489583336,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.08,False
Deblurring,100,02.png,27.742515563964844,0.7762433886528015,27.742515563964844,1200,0.7762433886528015,0.00011441589595051482,0.285305308035,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.08,False
Deblurring,100,03.png,25.831201553344727,0.7575393915176392,25.831201553344727,1200,0.7575393915176392,0.00018849522166419774,0.2852758286016666,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.08,False
