task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.435440063476562,0.5761274695396423,24.8171443939209,1054,0.630523681640625,0.0003680870868265629,0.27627425808166667,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.05,False
Deblurring,100,02.png,27.889060974121094,0.6731041073799133,28.165668487548828,1114,0.699509859085083,0.00031881092581897974,0.28063932500833333,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.05,False
Deblurring,100,03.png,25.71446990966797,0.6655561923980713,25.99298095703125,1112,0.700905442237854,0.0003961237380281091,0.28489819619083334,0.00125,1200,0.5,0.99,1.0,80.0,15.0,0.05,False
