task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.6624755859375,0.6063265800476074,24.821727752685547,1094,0.6309158802032471,0.00029604186420328915,0.2803742579916667,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.05,False
Deblurring,100,02.png,28.11849594116211,0.6936535239219666,28.168792724609375,1156,0.6997420787811279,0.00016671352204866707,0.28209529593000005,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.05,False
Deblurring,100,03.png,25.954622268676758,0.6914790272712708,25.9996395111084,1156,0.7009786367416382,0.00028082990320399404,0.2814476123591667,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.05,False
