task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,22.595849990844727,0.4248366355895996,24.801176071166992,936,0.6293184757232666,0.0006591068813577294,0.35189635476500003,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.05,False
Deblurring,100,02.png,24.77124786376953,0.485922634601593,28.149805068969727,990,0.698823094367981,0.0006198163027875125,0.3510103661783334,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.05,False
Deblurring,100,03.png,22.855304718017578,0.4953121244907379,25.969465255737305,987,0.6999284029006958,0.0008004687260836363,0.3194663493075,0.00125,1200,0.5,0.99,1.0,80.0,12.0,0.05,False
