task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.383817672729492,0.5677164793014526,24.75649642944336,1051,0.6135732531547546,0.0003858937125187367,0.2752545953766667,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.045,False
Deblurring,100,02.png,27.78490447998047,0.6566406488418579,28.067625045776367,1097,0.6783276796340942,0.00027458820841275156,0.280514891275,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.045,False
Deblurring,100,03.png,25.618236541748047,0.6507664918899536,25.931936264038086,1105,0.6852662563323975,0.00038485860568471253,0.2769232960683334,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.045,False
