task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.795867919921875,0.6296571493148804,24.864713668823242,1132,0.6450473070144653,0.00024616922019049525,0.2790287338075,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.055,False
Deblurring,100,02.png,28.214460372924805,0.7181414365768433,28.214460372924805,1200,0.7181414365768433,0.0001376590080326423,0.28269752521,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.055,False
Deblurring,100,03.png,26.031856536865234,0.7143492698669434,26.031856536865234,1200,0.7143492698669434,0.00021968841610942036,0.28259942564666657,0.00125,1200,0.5,0.99,1.0,80.0,16.0,0.055,False
