task,eta,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,lambda,max_iter,gamma1,gamma2,r,score_sigma_begin,score_sigma_end,denoise_relax,clip_denoiser_input
Deblurring,100,01.png,24.481857299804688,0.5704366564750671,24.670974731445312,1073,0.5935753583908081,0.00025259744143113494,0.2821297942141667,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.04,False
Deblurring,100,02.png,27.769033432006836,0.638992428779602,27.924942016601562,1105,0.6527156829833984,0.0001429014082532376,0.2827207153608333,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.04,False
Deblurring,100,03.png,25.70920181274414,0.6499791145324707,25.841278076171875,1129,0.6656068563461304,0.0002988384512718767,0.283131044935,0.00125,1200,0.5,0.99,1.0,80.0,18.0,0.04,False
